dense_units,optimizer,fourth_layer,batch_size,fifth_layer,input_size,num_folds,beta_1,beta_2,lr,rho,decay,nesterov,epsilon,amsgrad,momentum,cv_acc_mean,cv_acc_std,cv_loss_mean,cv_loss_std,valid_acc,valid_loss,dropout_04,dropout_02,dropout_03,dropout_01,dropout_05
32.0,rmsprop,False,32.0,False,75.0,3.0,,,0.1,0.8,0.0001,,0.0001,,,0.4993252372166338,0.0009542605642362905,8.011235127160713,0.03628502951333061,0.5060240935130291,7.875154012657074,0.3787330702327921,0.5141776094765423,0.494324711776259,0.7164066151843692,0.6812810474090649
512.0,sgd,False,32.0,False,40.0,3.0,,,0.1,,0.00025,True,,,0.6,0.4993252372166338,0.0009542605642362905,8.011235168512448,0.03628513406364869,0.5060240935130291,7.875154012657074,0.1898852942464604,0.3634161767994827,0.01582271821421943,0.3048179059280204,0.43610676707878615
128.0,adam,True,96.0,True,40.0,3.0,0.85,0.951,0.01,,0.0001,,1e-08,False,,0.794323206631927,0.010531203815568112,0.5177167257454669,0.04912827208794016,0.8192771098699915,0.464048448097275,0.0834102990212423,0.5633820064840341,0.7729561366965729,0.3661379284647518,0.7530187905673797
256.0,rmsprop,True,96.0,False,90.0,3.0,,,0.1,0.9,0.0001,,0.001,,,0.49932523721663374,0.0009542605642362905,8.011235168512446,0.03628513406364869,0.4939759064869708,8.15614501539483,0.5738170130229704,0.0777493692682808,0.04817003760170868,0.16228540284149062,0.4060243241960936
32.0,rmsprop,False,64.0,False,50.0,3.0,,,0.001,0.8,0.0005,,0.0001,,,0.8348913246204402,0.021224048186943643,0.5319987242737526,0.017843942905337296,0.8674698759274311,0.5943245909300195,0.520209936688498,0.9351840535341964,0.1898373360243254,0.35136955996546615,0.1604181445213999
128.0,rmsprop,True,96.0,True,50.0,3.0,,,0.01,0.8,0.0,,1e-07,,,0.8470754748020232,0.008602721196268613,0.43503706175551304,0.058135031754754075,0.8072289170989071,0.9508672830570175,0.42351309625072,0.009530725730600764,0.5342393172031199,0.2786475630161882,0.42374616819603717
